filais,PROXIMIDADE AOS OBJETIVOS DA EMPRESA,rank,1° pior indicador,2° pior indicador,3° pior indicador
Região Centro-Oeste,67.840082033096%,3,Fator de Utilização - CAIXA DE LUVA,,
Hospitais - DF,68.00553029973324%,21,Fator de Utilização - CAIXA DE LUVA,Fator de Utilização - CIRCUITO DE ASPIRAÇÃO FECHADO (stericath),Fator de Utilização - MÁSCARA CIRÚRGICA
Hospitais - GO,245.57322159039208%,3,,,
Hospitais - MS,79.48797197983876%,18,Fator de Utilização - CAIXA DE LUVA,Fator de Utilização - FILTRO,Fator de Utilização - ÓCULOS
Hospitais - MT,98.76179147920341%,7,Fator de Utilização - VISEIRA,,
Região Nordeste,60.65916178067462%,4,Fator de Utilização - MÁSCARA-N95,Fator de Utilização - MÁSCARA CIRÚRGICA,Fator de Utilização - AVENTAL/CAPOTE
Hospitais - AL,64.91981483057295%,22,Fator de Utilização - ÓCULOS,Fator de Utilização - VISEIRA,Fator de Utilização - MÁSCARA-N95
Hospitais - BA,91.46181621004344%,12,Fator de Utilização - CIRCUITO DE ASPIRAÇÃO FECHADO (stericath),Fator de Utilização - VISEIRA,Fator de Utilização - AVENTAL/CAPOTE
Hospitais - CE,149.99590389183533%,5,,,
Hospitais - MA,55.02116476247162%,24,Fator de Utilização - MÁSCARA-N95,Fator de Utilização - MÁSCARA CIRÚRGICA,Fator de Utilização - CAIXA DE LUVA
Hospitais - PB,76.81866597433196%,20,Fator de Utilização - CIRCUITO DE ASPIRAÇÃO FECHADO (stericath),Fator de Utilização - VISEIRA,Fator de Utilização - AVENTAL/CAPOTE
Hospitais - PE,462.0425952881266%,1,,,
Hospitais - PI,89.36803429308179%,13,Fator de Utilização - AVENTAL/CAPOTE,Fator de Utilização - CIRCUITO DE ASPIRAÇÃO FECHADO (stericath),Fator de Utilização - CAIXA DE LUVA
Hospitais - RN,96.50078743285505%,9,Fator de Utilização - MÁSCARA CIRÚRGICA,Fator de Utilização - ÓCULOS,Fator de Utilização - CIRCUITO DE ASPIRAÇÃO FECHADO (stericath)
Hospitais - SE,49.47456204442623%,25,Fator de Utilização - FILTRO,Fator de Utilização - MÁSCARA-N95,Fator de Utilização - CIRCUITO DE ASPIRAÇÃO FECHADO (stericath)
Região Norte,41.4501792247726%,5,Fator de Utilização - ÓCULOS,Fator de Utilização - FILTRO,Fator de Utilização - VISEIRA
Hospitais - AC,85.82774794854402%,16,Fator de Utilização - AVENTAL/CAPOTE,Fator de Utilização - VISEIRA,Fator de Utilização - MÁSCARA CIRÚRGICA
Hospitais - AM,81.46858595825994%,17,Fator de Utilização - CIRCUITO DE ASPIRAÇÃO FECHADO (stericath),Fator de Utilização - FILTRO,Fator de Utilização - ÓCULOS
Hospitais - AP,88.31312166351563%,14,Fator de Utilização - MÁSCARA-N95,Fator de Utilização - ÓCULOS,Fator de Utilização - MÁSCARA CIRÚRGICA
Hospitais - PA,47.237073886978735%,26,Fator de Utilização - FILTRO,Fator de Utilização - CIRCUITO DE ASPIRAÇÃO FECHADO (stericath),Fator de Utilização - ÓCULOS
Hospitais - TO,61.59422394938105%,23,Fator de Utilização - ÓCULOS,Fator de Utilização - VISEIRA,Fator de Utilização - AVENTAL/CAPOTE
Hospitais - RO,310.0198565348241%,2,,,
Região Sudeste,78.27145988423963%,2,Fator de Utilização - CIRCUITO DE ASPIRAÇÃO FECHADO (stericath),Fator de Utilização - VISEIRA,Fator de Utilização - MÁSCARA-N95
Hospitais - ES,96.94354982309247%,8,Fator de Utilização - CIRCUITO DE ASPIRAÇÃO FECHADO (stericath),,
Hospitais - MG,88.28721288674394%,15,Fator de Utilização - CIRCUITO DE ASPIRAÇÃO FECHADO (stericath),Fator de Utilização - ÓCULOS,Fator de Utilização - AVENTAL/CAPOTE
Hospitais - RJ,93.15720080850308%,10,Fator de Utilização - VISEIRA,Fator de Utilização - MÁSCARA-N95,
Hospitais - SP,78.57729803232513%,19,Fator de Utilização - FILTRO,Fator de Utilização - ÓCULOS,Fator de Utilização - VISEIRA
Região Sul,139.19608312726453%,1,,,
Hospitais - PR,225.6664625338898%,4,,,
Hospitais - RS,98.93309613391197%,6,Fator de Utilização - VISEIRA,,
Hospitais - SC,92.04904556330938%,11,Fator de Utilização - FILTRO,Fator de Utilização - CIRCUITO DE ASPIRAÇÃO FECHADO (stericath),Fator de Utilização - AVENTAL/CAPOTE
Brasil,79.11464006723754%,,Fator de Utilização - CIRCUITO DE ASPIRAÇÃO FECHADO (stericath),Fator de Utilização - FILTRO,Fator de Utilização - MÁSCARA-N95
