filais,PROXIMIDADE AOS OBJETIVOS DA EMPRESA,rank,1° pior indicador,2° pior indicador,3° pior indicador
Região Centro-Oeste,96.03396843185399%,2,SAÍDA DIÁRIA - ENF - ALTAS,SAÍDA DIÁRIA - UTI - ALTA,
Hospitais - DF,94.95884195282332%,5,SAÍDA DIÁRIA - UTI - ALTA,INTERNAÇÃO  ENF - COVID-19,
Hospitais - GO,84.79327421012606%,7,SAÍDA DIÁRIA - ENF - ALTAS,SAÍDA DIÁRIA - UTI - ALTA,
Hospitais - MS,339.6923749769278%,1,,,
Hospitais - MT,71.42192645050794%,21,SAÍDA DIÁRIA - ENF - ALTAS,SAÍDA DIÁRIA - UTI - ALTA,
Região Nordeste,88.55632529540276%,4,SAÍDA DIÁRIA - UTI - ÓBITOS,INTERNAÇÃO UTI - COVID - 19,INTERNAÇÃO  ENF - COVID-19
Hospitais - AL,70.46509458231864%,24,INTERNAÇÃO UTI - COVID - 19,SAÍDA DIÁRIA - ENF - ALTAS,SAÍDA DIÁRIA - UTI - ALTA
Hospitais - BA,82.515295422983%,9,SAÍDA DIÁRIA - ENF - ALTAS,SAÍDA DIÁRIA - UTI - ALTA,SAÍDA DIÁRIA - UTI - ÓBITOS
Hospitais - CE,96.14427035120845%,4,SAÍDA DIÁRIA - UTI - ÓBITOS,INTERNAÇÃO UTI - COVID - 19,
Hospitais - MA,78.42513906086066%,11,INTERNAÇÃO  ENF - COVID-19,SAÍDA DIÁRIA - ENF - ALTAS,SAÍDA DIÁRIA - UTI - ALTA
Hospitais - PB,74.12073123285508%,14,SAÍDA DIÁRIA - ENF - ALTAS,SAÍDA DIÁRIA - UTI - ALTA,
Hospitais - PE,78.17905748082467%,12,SAÍDA DIÁRIA - UTI - ÓBITOS,INTERNAÇÃO UTI - COVID - 19,INTERNAÇÃO  ENF - COVID-19
Hospitais - PI,73.29348034969262%,16,SAÍDA DIÁRIA - UTI - ALTA,SAÍDA DIÁRIA - ENF - ALTAS,
Hospitais - RN,73.9750966061512%,15,SAÍDA DIÁRIA - UTI - ALTA,SAÍDA DIÁRIA - ENF - ALTAS,
Hospitais - SE,72.34476662490533%,19,SAÍDA DIÁRIA - ENF - ALTAS,SAÍDA DIÁRIA - UTI - ALTA,
Região Norte,80.22771404196803%,5,SAÍDA DIÁRIA - ENF - ÓBITOS,SAÍDA DIÁRIA - ENF - ALTAS,INTERNAÇÃO  ENF - COVID-19
Hospitais - AC,71.22171953265276%,23,SAÍDA DIÁRIA - ENF - ALTAS,INTERNAÇÃO  ENF - COVID-19,SAÍDA DIÁRIA - UTI - ALTA
Hospitais - AM,30.78703641900719%,26,SAÍDA DIÁRIA - ENF - ÓBITOS,SAÍDA DIÁRIA - UTI - ÓBITOS,INTERNAÇÃO  ENF - COVID-19
Hospitais - AP,71.3705384188104%,22,SAÍDA DIÁRIA - UTI - ALTA,SAÍDA DIÁRIA - ENF - ALTAS,
Hospitais - PA,72.67654081870994%,18,SAÍDA DIÁRIA - ENF - ALTAS,SAÍDA DIÁRIA - UTI - ALTA,
Hospitais - TO,71.73674804313943%,20,SAÍDA DIÁRIA - UTI - ALTA,SAÍDA DIÁRIA - ENF - ALTAS,
Hospitais - RO,72.84638729949555%,17,SAÍDA DIÁRIA - UTI - ALTA,SAÍDA DIÁRIA - ENF - ALTAS,
Região Sudeste,89.49074042000156%,3,INTERNAÇÃO UTI - COVID - 19,SAÍDA DIÁRIA - UTI - ÓBITOS,INTERNAÇÃO  ENF - COVID-19
Hospitais - ES,75.1163387224689%,13,INTERNAÇÃO UTI - COVID - 19,SAÍDA DIÁRIA - UTI - ÓBITOS,INTERNAÇÃO  ENF - COVID-19
Hospitais - MG,188.14025910734395%,2,,,
Hospitais - RJ,84.7034071410822%,8,SAÍDA DIÁRIA - UTI - ÓBITOS,SAÍDA DIÁRIA - UTI - ALTA,SAÍDA DIÁRIA - ENF - ALTAS
Hospitais - SP,54.33321163687028%,25,INTERNAÇÃO UTI - COVID - 19,INTERNAÇÃO  ENF - COVID-19,SAÍDA DIÁRIA - ENF - ÓBITOS
Região Sul,145.97256932844763%,1,,,
Hospitais - PR,87.4855006673536%,6,SAÍDA DIÁRIA - ENF - ALTAS,INTERNAÇÃO UTI - COVID - 19,
Hospitais - RS,82.31593727791258%,10,SAÍDA DIÁRIA - ENF - ÓBITOS,INTERNAÇÃO  ENF - COVID-19,SAÍDA DIÁRIA - UTI - ÓBITOS
Hospitais - SC,97.25050480354346%,3,SAÍDA DIÁRIA - ENF - ÓBITOS,,
Brasil,84.27259959952306%,,SAÍDA DIÁRIA - ENF - ÓBITOS,INTERNAÇÃO UTI - COVID - 19,INTERNAÇÃO  ENF - COVID-19
