filais,PROXIMIDADE AOS OBJETIVOS DA EMPRESA,rank,1° pior indicador,2° pior indicador
Região Centro-Oeste,54.625218959955134%,4,Taxa de ocupação dos ventiladores,
Hospitais - DF,69.73298460957903%,18,Taxa de ocupação dos ventiladores,Taxa de ocupação dos monitores
Hospitais - GO,115.07568340005628%,8,,
Hospitais - MS,122.05397787154367%,6,,
Hospitais - MT,36.42713063015173%,23,Taxa de ocupação dos ventiladores,
Região Nordeste,28.439712022010276%,5,Taxa de ocupação dos monitores,Taxa de ocupação dos ventiladores
Hospitais - AL,53.56942556419836%,21,Taxa de ocupação dos monitores,Taxa de ocupação dos ventiladores
Hospitais - BA,108.09845019481526%,10,,
Hospitais - CE,35.72515108042199%,24,Taxa de ocupação dos ventiladores,Taxa de ocupação dos monitores
Hospitais - MA,34.56028487920735%,25,Taxa de ocupação dos ventiladores,Taxa de ocupação dos monitores
Hospitais - PB,88.96851196014943%,14,Taxa de ocupação dos monitores,Taxa de ocupação dos ventiladores
Hospitais - PE,53.56592095090964%,22,Taxa de ocupação dos ventiladores,Taxa de ocupação dos monitores
Hospitais - PI,85.67324667352901%,15,Taxa de ocupação dos monitores,
Hospitais - RN,99.82565065027144%,11,Taxa de ocupação dos monitores,
Hospitais - SE,63.893221540731915%,19,Taxa de ocupação dos monitores,
Região Norte,106.4251868133291%,2,,
Hospitais - AC,127.21279996479424%,5,,
Hospitais - AM,29.580685164730657%,26,Taxa de ocupação dos ventiladores,Taxa de ocupação dos monitores
Hospitais - AP,79.41503884030475%,17,Taxa de ocupação dos ventiladores,Taxa de ocupação dos monitores
Hospitais - PA,62.35149690357529%,20,Taxa de ocupação dos ventiladores,Taxa de ocupação dos monitores
Hospitais - TO,192.53157904635344%,2,,
Hospitais - RO,200.17489734274912%,1,,
Região Sudeste,86.50402861598089%,3,Taxa de ocupação dos monitores,
Hospitais - ES,121.16650981669773%,7,,
Hospitais - MG,95.71957047861396%,12,Taxa de ocupação dos monitores,
Hospitais - RJ,82.79304736381758%,16,Taxa de ocupação dos monitores,
Hospitais - SP,114.84250972971965%,9,,
Região Sul,122.21348232678706%,1,,
Hospitais - PR,129.62360902105593%,4,,
Hospitais - RS,89.44012726566763%,13,Taxa de ocupação dos monitores,
Hospitais - SC,160.26760901996386%,3,,
Brasil,67.61974625175858%,,Taxa de ocupação dos monitores,Taxa de ocupação dos ventiladores
