filais,PROXIMIDADE AOS OBJETIVOS DA EMPRESA,rank,1° pior indicador,2° pior indicador,3° pior indicador
Região Centro-Oeste,39.571762592480184%,4,Ocupação do quadro - FISIOTERAPEUTAS,Ocupação do quadro - MÉDICOS,Ocupação do quadro - TEC. ENFERMAGEM
Hospitais - DF,65.33310770064509%,15,Ocupação do quadro - FISIOTERAPEUTAS,Ocupação do quadro - TEC. ENFERMAGEM,Ocupação do quadro - MÉDICOS
Hospitais - GO,47.124487819308136%,22,Ocupação do quadro - TEC. ENFERMAGEM,Ocupação do quadro - HIGIENIZAÇÃO,Ocupação do quadro - MÉDICOS
Hospitais - MS,76.82462496736186%,9,Ocupação do quadro - MÉDICOS,Ocupação do quadro - FISIOTERAPEUTAS,
Hospitais - MT,9.676547579363076%,26,Ocupação do quadro - FISIOTERAPEUTAS,Ocupação do quadro - MÉDICOS,Ocupação do quadro - ENFERMEIROS
Região Nordeste,106.1954035479836%,1,,,
Hospitais - AL,52.96263569922658%,20,Ocupação do quadro - FISIOTERAPEUTAS,Ocupação do quadro - HIGIENIZAÇÃO,Ocupação do quadro - MÉDICOS
Hospitais - BA,78.09313067466034%,8,Ocupação do quadro - MÉDICOS,Ocupação do quadro - FISIOTERAPEUTAS,Ocupação do quadro - TEC. ENFERMAGEM
Hospitais - CE,35.33122005975094%,24,Ocupação do quadro - FISIOTERAPEUTAS,Ocupação do quadro - MÉDICOS,Ocupação do quadro - ENFERMEIROS
Hospitais - MA,71.46185897801367%,11,Ocupação do quadro - MÉDICOS,Ocupação do quadro - TEC. ENFERMAGEM,Ocupação do quadro - ENFERMEIROS
Hospitais - PB,59.614117733314856%,18,Ocupação do quadro - HIGIENIZAÇÃO,Ocupação do quadro - TEC. ENFERMAGEM,Ocupação do quadro - FISIOTERAPEUTAS
Hospitais - PE,68.22977808786509%,13,Ocupação do quadro - TEC. ENFERMAGEM,Ocupação do quadro - FISIOTERAPEUTAS,Ocupação do quadro - ENFERMEIROS
Hospitais - PI,69.1483464006539%,12,Ocupação do quadro - FISIOTERAPEUTAS,Ocupação do quadro - TEC. ENFERMAGEM,Ocupação do quadro - MÉDICOS
Hospitais - RN,118.9190505748008%,3,,,
Hospitais - SE,268.3822481820072%,1,,,
Região Norte,105.60172134860073%,2,,,
Hospitais - AC,66.3857506760653%,14,Ocupação do quadro - HIGIENIZAÇÃO,Ocupação do quadro - ENFERMEIROS,Ocupação do quadro - MÉDICOS
Hospitais - AM,79.00694281226203%,7,Ocupação do quadro - ENFERMEIROS,,
Hospitais - AP,109.15542854378128%,4,,,
Hospitais - PA,71.55139123995171%,10,Ocupação do quadro - FISIOTERAPEUTAS,Ocupação do quadro - ENFERMEIROS,Ocupação do quadro - HIGIENIZAÇÃO
Hospitais - TO,132.36322008032357%,2,,,
Hospitais - RO,48.26616877852764%,21,Ocupação do quadro - HIGIENIZAÇÃO,Ocupação do quadro - FISIOTERAPEUTAS,Ocupação do quadro - ENFERMEIROS
Região Sudeste,66.59244380975959%,3,Ocupação do quadro - HIGIENIZAÇÃO,Ocupação do quadro - TEC. ENFERMAGEM,Ocupação do quadro - MÉDICOS
Hospitais - ES,88.19962382053745%,5,Ocupação do quadro - HIGIENIZAÇÃO,Ocupação do quadro - MÉDICOS,Ocupação do quadro - FISIOTERAPEUTAS
Hospitais - MG,30.08143250494586%,25,Ocupação do quadro - FISIOTERAPEUTAS,Ocupação do quadro - TEC. ENFERMAGEM,Ocupação do quadro - HIGIENIZAÇÃO
Hospitais - RJ,79.7131511096468%,6,Ocupação do quadro - HIGIENIZAÇÃO,Ocupação do quadro - FISIOTERAPEUTAS,
Hospitais - SP,64.18647712850002%,16,Ocupação do quadro - TEC. ENFERMAGEM,Ocupação do quadro - HIGIENIZAÇÃO,Ocupação do quadro - MÉDICOS
Região Sul,30.99023034361848%,5,Ocupação do quadro - FISIOTERAPEUTAS,Ocupação do quadro - MÉDICOS,Ocupação do quadro - TEC. ENFERMAGEM
Hospitais - PR,35.66126706632192%,23,Ocupação do quadro - MÉDICOS,Ocupação do quadro - ENFERMEIROS,Ocupação do quadro - FISIOTERAPEUTAS
Hospitais - RS,64.12885862083631%,17,Ocupação do quadro - FISIOTERAPEUTAS,Ocupação do quadro - MÉDICOS,Ocupação do quadro - TEC. ENFERMAGEM
Hospitais - SC,59.2804834957705%,19,Ocupação do quadro - TEC. ENFERMAGEM,Ocupação do quadro - MÉDICOS,Ocupação do quadro - ENFERMEIROS
Brasil,47.45214993455469%,,Ocupação do quadro - TEC. ENFERMAGEM,Ocupação do quadro - FISIOTERAPEUTAS,Ocupação do quadro - ENFERMEIROS
